ItemId,Domain,Domain #,
49294,Athlete Education and Training,3,1
49231,Assessment of Performance Needs,1,2
49342,Assessment of Performance Needs,1,3
49267,Athlete Education and Training,3,4
49542,Athlete Education and Training,3,5
49488,Program Design and Development,2,6
49526,Organizational and Administrative Responsibilities,5,7
49352,Assessment of Performance Needs,1,8
49515,Athlete Testing and Evaluation,4,9
49420,Athlete Testing and Evaluation,4,10
49392,Assessment of Performance Needs,1,11
49429,Athlete Testing and Evaluation,4,12
49521,Athlete Testing and Evaluation,4,13
49327,Program Design and Development,2,14
49437,Program Design and Development,2,15
49195,Program Design and Development,2,16
49498,Program Design and Development,2,17
49260,Program Design and Development,2,18
49313,Program Design and Development,2,19
49508,Athlete Testing and Evaluation,4,20
49412,Program Design and Development,2,21
49533,Organizational and Administrative Responsibilities,5,22
49251,Program Design and Development,2,23
49531,Organizational and Administrative Responsibilities,5,24
49472,Organizational and Administrative Responsibilities,5,25
49544,Organizational and Administrative Responsibilities,5,26
49289,Program Design and Development,2,27
49464,Organizational and Administrative Responsibilities,5,28
49312,Assessment of Performance Needs,1,29
49350,Assessment of Performance Needs,1,30
49461,Athlete Education and Training,3,31
49244,Program Design and Development,2,32
49278,Assessment of Performance Needs,1,33
49746,Athlete Testing and Evaluation,4,34
49497,Organizational and Administrative Responsibilities,5,35
49559,Athlete Education and Training,3,36
49408,Athlete Testing and Evaluation,4,37
49272,Assessment of Performance Needs,1,38
49432,Athlete Testing and Evaluation,4,39
49479,Program Design and Development,2,40
49481,Program Design and Development,2,41
49529,Organizational and Administrative Responsibilities,5,42
49245,Athlete Testing and Evaluation,4,43
49524,Organizational and Administrative Responsibilities,5,44
49572,Athlete Education and Training,3,45
49209,Assessment of Performance Needs,1,46
49530,Organizational and Administrative Responsibilities,5,47
49538,Athlete Education and Training,3,48
49560,Organizational and Administrative Responsibilities,5,49
49548,Athlete Education and Training,3,50
49522,Organizational and Administrative Responsibilities,5,51
49494,Athlete Testing and Evaluation,4,52
49503,Athlete Testing and Evaluation,4,53
49221,Athlete Education and Training,3,54
49568,Athlete Education and Training,3,55
49480,Program Design and Development,2,56
49348,Assessment of Performance Needs,1,57
49418,Athlete Education and Training,3,58
49227,Program Design and Development,2,59
49340,Assessment of Performance Needs,1,60
49190,Athlete Education and Training,3,61
49468,Athlete Education and Training,3,62
49290,Assessment of Performance Needs,1,63
49336,Assessment of Performance Needs,1,64
49534,Athlete Education and Training,3,65
49358,Athlete Education and Training,3,66
49546,Athlete Education and Training,3,67
49421,Athlete Testing and Evaluation,4,68
49520,Athlete Testing and Evaluation,4,69
49471,Organizational and Administrative Responsibilities,5,70
49317,Program Design and Development,2,71
49411,Program Design and Development,2,72
49355,Assessment of Performance Needs,1,73
49462,Organizational and Administrative Responsibilities,5,74
49204,Program Design and Development,2,75
49321,Program Design and Development,2,76
49550,Organizational and Administrative Responsibilities,5,77
49567,Organizational and Administrative Responsibilities,5,78
49563,Athlete Education and Training,3,79
49517,Program Design and Development,2,80
49486,Athlete Testing and Evaluation,4,81
49483,Athlete Testing and Evaluation,4,82
49516,Athlete Testing and Evaluation,4,83
49496,Athlete Testing and Evaluation,4,84
49557,Athlete Education and Training,3,85
49410,Assessment of Performance Needs,1,86
49504,Athlete Education and Training,3,87
49275,Program Design and Development,2,88
49390,Assessment of Performance Needs,1,89
49555,Athlete Education and Training,3,90
49259,Assessment of Performance Needs,1,91
49434,Organizational and Administrative Responsibilities,5,92
49569,Program Design and Development,2,93
49518,Athlete Education and Training,3,94
49426,Athlete Education and Training,3,95
49239,Assessment of Performance Needs,1,96
49489,Athlete Testing and Evaluation,4,97
49208,Athlete Testing and Evaluation,4,98
49220,Program Design and Development,2,99
49271,Athlete Testing and Evaluation,4,100
49514,Athlete Testing and Evaluation,4,101
49554,Athlete Education and Training,3,102
49262,Athlete Testing and Evaluation,4,103
49402,Assessment of Performance Needs,1,104
49188,Program Design and Development,2,105
49285,Program Design and Development,2,106
49556,Athlete Education and Training,3,107
49248,Athlete Education and Training,3,108
49463,Organizational and Administrative Responsibilities,5,109
49345,Assessment of Performance Needs,1,110
49419,Athlete Testing and Evaluation,4,111
49482,Organizational and Administrative Responsibilities,5,112
49393,Program Design and Development,2,113
49525,Athlete Testing and Evaluation,4,114
49552,Organizational and Administrative Responsibilities,5,115
49510,Program Design and Development,2,116
49430,Athlete Testing and Evaluation,4,117
49338,Program Design and Development,2,118
49357,Assessment of Performance Needs,1,119
49467,Organizational and Administrative Responsibilities,5,120
49476,Athlete Testing and Evaluation,4,121
49386,Assessment of Performance Needs,1,122
49575,Program Design and Development,2,123
49425,Program Design and Development,2,124
49428,Organizational and Administrative Responsibilities,5,125
49233,Program Design and Development,2,126
49362,Assessment of Performance Needs,1,127
49749,Organizational and Administrative Responsibilities,5,128
49397,Assessment of Performance Needs,1,129
49519,Assessment of Performance Needs,1,130
49474,Organizational and Administrative Responsibilities,5,131
49413,Assessment of Performance Needs,1,132
49407,Assessment of Performance Needs,1,133
49744,Athlete Testing and Evaluation,4,134
49564,Athlete Testing and Evaluation,4,135
49435,Athlete Education and Training,3,136
49506,Program Design and Development,2,137
49558,Athlete Education and Training,3,138
49500,Athlete Education and Training,3,139
49537,Program Design and Development,2,140
49561,Athlete Education and Training,3,141
49490,Organizational and Administrative Responsibilities,5,142
49543,Athlete Testing and Evaluation,4,143
49287,Program Design and Development,2,144
49293,Assessment of Performance Needs,1,145
49405,Assessment of Performance Needs,1,146
49416,Athlete Testing and Evaluation,4,147
49191,Assessment of Performance Needs,1,148
49505,Athlete Education and Training,3,149
49404,Program Design and Development,2,150
